course_code,course_name,units,year,description,requirements,faculty,outcomes,corequisites,exclusions,recommended,department_name,department_code,instructor,keywords,prereq_codes
BIOL 510,The Biology of Sustainability,3.0,,"This ecology course will identify and critique potential mechanisms by which our civilization could most effectively move toward more sustainable living. The topic incorporates many fundamental aspects of biology, and each course iteration may include biogeochemical, ecological, economic, social, genetic, philosophical, and behavioural components.","Prerequisite (Level 4 or above and registration in a Biology Honours Plan [BIOL-M-BSH, BIOL-P-BSH, BIMA-P-BSH, BIPS-P-BSH, BTEC-P-BSH, EBIO-P-BSH] and a minimum GPA of 2.0 in the Biological Foundations List) or permission of the Department. Recommended BIOL 300/3.0.",Faculty of Arts and Science,,,[],BIOL 300/3.0.,Biology,BIOL,,"[""ecology"", ""sustainability"", ""biology"", ""biogeochemical"", ""behavioral""]",
BIOL 527,Paleolimnology and Global Environmental Change,3.0,,"This course is mainly to provide students with a background in studies of long-term environmental change, with a focus on research that is especially relevant to today's environmental problems. Key topics include: climatic change, lake pollution, atmospheric deposition of contaminants and related topics.","Prerequisite (Level 4 or above and registration in a Biology Honours Plan [BIOL-M-BSH, BIOL-P-BSH, BIMA-P-BSH, BIPS-P-BSH, BTEC-P-BSH, EBIO-P-BSH] and a minimum GPA of 2.0 in the Biological Foundations List) or permission of the Department. Recommended BIOL 335/3.0.",Faculty of Arts and Science,,,[],BIOL 335/3.0.,Biology,BIOL,,"[""environmental change"", ""climate change"", ""lake pollution"", ""contaminants"", ""research""]",
BIOL 530,Origins of Biodiversity,3.0,,"This course uses the latitudinal increase in diversity towards the equator as a launching point to explore how diversity forms, is maintained, and disappears, and why we find such dramatic variation in diversity around the world. Discussions will focus on both evolutionary and ecological perspectives of diversity, and we will review various hypotheses to explain latitudinal diversity gradients.","Prerequisite (Level 4 or above and registration in a Biology Honours Plan [BIOL-M-BSH, BIOL-P-BSH, BIMA-P-BSH, BIPS-P-BSH, BTEC-P-BSH, EBIO-P-BSH] and a minimum GPA of 2.0 in the Biological Foundations List) or permission of the Department.",Faculty of Arts and Science,,,[],,Biology,BIOL,,"[""diversity"", ""latitudinal"", ""ecology"", ""evolution"", ""hypotheses""]",
BIOL 531,Darwinism and Cultural Evolution,3.0,,"Through seminars, essays, and group discussions, students explore ideas, research objectives, and recent discoveries in the application of Darwinian evolutionary theory to the interpretation of human nature, social life, and culture - and how these advances impact on our understanding of civilization and the challenges it faces for the 21st century.",Prerequisite BIOL 350/3.0.,Faculty of Arts and Science,,,[],,Biology,BIOL,,"[""Darwinian"", ""evolution"", ""human nature"", ""social life"", ""culture""]",BIOL 350
BIOL 535,Selected Topics in Biology,3.0,,"Topics vary from year to year. Please consult the Department of Biology website for more information.
NOTE This course is repeatable for credit under different topic titles.","Prerequisite Level 4 or above and registration in a Biology Honours Plan (BIOL-M-BSH, BIOL-P-BSH, BIMA-P-BSH, BIPS-P-BSH, BTEC-P-BSH, EBIO-P-BSH) and a minimum GPA of 2.0 in the Biological Foundations List and permission of the Department.",Faculty of Arts and Science,,,[],,Biology,BIOL,George diCenzo,"[""topics vary"", ""repeatable"", ""biology"", ""honours"", ""gpa""]",
BIOL 537,Research in Biology,12.0,,"Individual research projects under the supervision of a staff member; reported in the form of a thesis, poster, and seminar.
NOTE In the spring preceding fourth year, students must select projects in consultation with potential supervisors. Registration is subject to availability of a supervisor. Work on the project during summer is advantageous if field studies are required. See also the statement on BIOL 501/3.0-BIOL 536/3.0 in the BIOL Department Information, preliminary information section.",Prerequisite Admission to the final year of a BSCH program in Biology and a minimum GPA of 2.0 in the Biological Foundations List and permission of the project supervisor and course coordinator. Exclusion BIOL 541/12.0*.,Faculty of Arts and Science,,,"[""BIOL 541""]",,Biology,BIOL,,"[""individual research"", ""thesis"", ""poster"", ""seminar"", ""supervisor""]",
BIOL 538,Research Mentorship in Biology I,3.0,,"Research practicum under the supervision of a Biology faculty member. The course will involve a combination of research in the host laboratory, attendance of BIOL 537 or other seminars in the Department, and literature research to present as a major paper and seminar.
NOTE Students will normally be enrolled in the fourth year of their Program, having completed the third year core requirements of their Plan.","Prerequisite Registration in a Biology Honours Plan (BIOL-M-BSH, BIOL-P-BSH, BIMA-P-BSH, BIPS-P-BSH, EBIO-P-BSH) and a minimum GPA of 2.0 in the Biological Foundations List and permission of the Department. One-Way Exclusion Not to be taken concurrently with BIOL 537/12.0.",Faculty of Arts and Science,,,[],,Biology,BIOL,,"[""research practicum"", ""faculty"", ""seminar"", ""paper"", ""honours""]",
BIOL 539,Research Mentorship in Biology II,3.0,,"Research practicum under the supervision of a Biology faculty member. The course will involve a combination of research in the host laboratory, attendance of BIOL 537 or other seminars in the Department, and literature research to present as a major paper and seminar.
NOTE Students will normally be enrolled in the fourth year of their Program, having completed the third year core requirements of their Plan.","Prerequisite Registration in a Biology Honours Plan (BIOL-M-BSH, BIOL-P-BSH, BIMA-P-BSH, BIPS-P-BSH, EBIO-P-BSH) and a minimum GPA of 2.0 in the Biological Foundations List and permission of the Department. Corequisite BIOL 538/3.0. One-Way Exclusion Not to be taken concurrently with BIOL 537/12.0.",Faculty of Arts and Science,,BIOL 538/3.0. One-Way,[],,Biology,BIOL,,"[""research practicum"", ""faculty"", ""seminar"", ""paper"", ""honours""]",
BIOL 540,Research Mentorship in Biology,6.0,,"Research practicum under the supervision of a Biology faculty member. The course will involve a combination of research in the host laboratory, attendance of BIOL 537 or other seminars in the Department, and literature research to present as a major paper and seminar.
NOTE Students will normally be enrolled in the fourth year of their Program, having completed the third year core requirements of their Plan.","Prerequisite Registration in a Biology Honours Plan (BIOL-M-BSH, BIOL-P-BSH, BIMA-P-BSH, BIPS-P-BSH, EBIO-P-BSH) and a minimum GPA of 2.0 in the Biological Foundations List and permission of the Department. One-Way Exclusion Not to be taken concurrently with BIOL 537/12.0.",Faculty of Arts and Science,,,[],,Biology,BIOL,,"[""research practicum"", ""faculty"", ""seminar"", ""paper"", ""honours""]",
BIOL 594,Independent Study,3.0,,"Exceptionally qualified students entering their third- or fourth-year may take a program of independent study provided it has been approved by the Department or Departments principally involved. The Department may approve an independent study program without permitting it to be counted toward a concentration in that Department. It is, consequently, the responsibility of students taking such programs to ensure that the concentration requirements for their degree will be met.
NOTE Requests for such a program must be received one month before the start of the first term in which the student intends to undertake the program.
NOTE Also offered at Bader College, UK.",Prerequisite Permission of the Department or Departments principally involved.,Faculty of Arts and Science,,,[],,Biology,BIOL,,"[""independent study"", ""qualified"", ""third-year"", ""fourth-year"", ""department""]",
BIOL 595,Independent Study,6.0,,"Exceptionally qualified students entering their third- or fourth-year may take a program of independent study provided it has been approved by the Department or Departments principally involved. The Department may approve an independent study program without permitting it to be counted toward a concentration in that Department. It is, consequently, the responsibility of students taking such programs to ensure that the concentration requirements for their degree will be met.
NOTE Requests for such a program must be received one month before the start of the first term in which the student intends to undertake the program.",Prerequisite Permission of the Department or Departments principally involved.,Faculty of Arts and Science,,,[],,Biology,BIOL,,"[""independent study"", ""qualified"", ""third-year"", ""fourth-year"", ""department""]",
BIOL 596,Independent Study,12.0,,"Exceptionally qualified students entering their third- or fourth-year may take a program of independent study provided it has been approved by the Department or Departments principally involved. The Department may approve an independent study program without permitting it to be counted toward a concentration in that Department. It is, consequently, the responsibility of students taking such programs to ensure that the concentration requirements for their degree will be met.
NOTE Requests for such a program must be received one month before the start of the first term in which the student intends to undertake the program.",Prerequisite Permission of the Department or Departments principally involved.,Faculty of Arts and Science,,,[],,Biology,BIOL,,"[""independent study"", ""qualified"", ""third-year"", ""fourth-year"", ""department""]",
BIOL 597,Independent Study,18.0,,"Exceptionally qualified students entering their third- or fourth-year may take a program of independent study provided it has been approved by the Department or Departments principally involved. The Department may approve an independent study program without permitting it to be counted toward a concentration in that Department. It is, consequently, the responsibility of students taking such programs to ensure that the concentration requirements for their degree will be met.
NOTE Requests for such a program must be received one month before the start of the first term in which the student intends to undertake the program.",Prerequisite Permission of the Department or Departments principally involved.,Faculty of Arts and Science,,,[],,Biology,BIOL,,"[""independent study"", ""qualified"", ""third-year"", ""fourth-year"", ""department""]",
BIOL 598,Independent Study,9.0,,"Exceptionally qualified students entering their third- or fourth-year may take a program of independent study provided it has been approved by the Department or Departments principally involved. The Department may approve an independent study program without permitting it to be counted toward a concentration in that Department. It is, consequently, the responsibility of students taking such programs to ensure that the concentration requirements for their degree will be met.
NOTE Requests for such a program must be received one month before the start of the first term in which the student intends to undertake the program.",Prerequisite Permission of the Department or Departments principally involved.,Faculty of Arts and Science,,,[],,Biology,BIOL,,"[""independent study"", ""qualified"", ""third-year"", ""fourth-year"", ""department""]",
BLCK 200,Black Studies and the Politics of Liberation: An Introduction,3.0,2.0,"This course will introduce students to black studies. Focusing on liberation struggles that are nested in black scholarly and creative works, the course maps out how black diasporic communities have navigated and resisted racism, white supremacy, and other forms of oppression.",Prerequisite None. Exclusion GNDS 380/3.0 (Topic Title: Introduction to Black Studies - Fall 2020).,Faculty of Arts and Science,,,"[""GNDS 380/3.0""]",,Black Studies,BLCK,,"[""black studies"", ""liberation struggles"", ""racism"", ""white supremacy"", ""oppression""]",
BLCK 220,African Literature on These Indigenous Lands,3.0,2.0,"Through a selection of readings by African writers and artists, students are asked to read and think alongside Indigenous writers and artists about what it means to be human, to be in relation, to remember, and to resist. Students will be introduced to contemporary literary works, artistic productions and theories arising from encountering these works in dialogue. Students will learn to evaluate these works as spaces of political solidarity and critical thinking between writers and writing across continents.","Prerequisite (Level 2 or above) or permission of the Department. Exclusion BLCK 280/3.0 (Topic Title: Black and Indigenous Poetics - Fall 2022, Fall 2023).",Faculty of Arts and Science,,,"[""BLCK 280/3.0""]",,Black Studies,BLCK,,"[""African writers"", ""Indigenous writers"", ""political solidarity"", ""critical thinking"", ""artistic productions""]",
BLCK 280,Special Topics in Black Studies,3.0,2.0,"Offered when faculty resources permit, these courses are analyses of particular areas of black studies interdisciplinary research. Details regarding specific topics will be available from the Chair in Black Studies on an annual basis.
NOTE This course is repeatable for credit under different topic titles.",Prerequisite (Level 2 or above) or permission of the Department.,Faculty of Arts and Science,,,[],,Black Studies,BLCK,,"[""black studies"", ""interdisciplinary research"", ""repeatable"", ""faculty resources"", ""topic titles""]",
BLCK 312,Black Feminist Thought: An Introduction,3.0,3.0,"Studies in black women's and black gender politics in Canada, the U.S.A., and the Caribbean.
NOTE This course is also listed/offered as GNDS 312/3.0.",Prerequisite (Level 3 or above) or permission of the Department. Exclusion GNDS 312/3.0.,Faculty of Arts and Science,,,"[""GNDS 312/3.0""]",,Black Studies,BLCK,,"[""black women"", ""gender politics"", ""Canada"", ""USA"", ""Caribbean""]",
BLCK 320,Black Environmentalism: A Global South Perspective,3.0,3.0,"This course examines the historical and contemporary environmental issues facing the global South today, including climate and environmental change, resource management (resource extraction and habitat conservation), toxic waste dumping, informal recycling economies, environmental (in)justice, etc. through an interdisciplinary methodology drawing on literature from Racial Capitalism, Environmental Studies, Political Ecology, Black Eco-poetics, Black Studies, and Geographies, and more broadly, using case studies from the global South and works from global South scholars.","Prerequisite (Level 3 or above) or permission of the Department. Exclusion BLCK 380/3.0 (Topic Title: Black Environmentalism: A Global South Perspective - Winter 2023, Winter 2024).",Faculty of Arts and Science,,,"[""BLCK 380/3.0""]",,Black Studies,BLCK,,"[""environmental issues"", ""global South"", ""racial capitalism"", ""political ecology"", ""black eco-poetics""]",
BLCK 360,Globalization and Black Health,3.0,3.0,"Global interconnectedness and interdependence have contributed to improvements in the social determinants of health (SDH): the conditions in which people live, work and play, and their access to opportunities for healthy lives and well-being, however, it has also brought many health risks especially for marginalized populations. This course will examine economic, social, technological, and the political dimensions of globalization and how these impact the health and well-being of Black populations, identifying opportunities and risks.
NOTE This course is also listed/offered as HLTH 360/3.0.","Prerequisite (Level 3 or above) or permission of the Department. Exclusion BLCK 380/3.0 (Topic Title: Globalization and Black Health - Fall 2022); HLTH 360/3.0; HLTH 397/3.0 (Topic Title: Globalization and Black Health - Winter 2022, Fall 2022).",Faculty of Arts and Science,,,"[""BLCK 380/3.0"", ""HLTH 360/3.0"", ""HLTH 397/3.0""]",,Black Studies,BLCK,,"[""globalization"", ""health"", ""well-being"", ""Black populations"", ""social determinants of health""]",
BLCK 380,Special Topics in Black Studies,3.0,3.0,"Offered when faculty resources permit, these courses are analyses of particular areas of black studies interdisciplinary research. Details regarding specific topics will be available from the Chair in Black Studies on an annual basis.
NOTE This course is repeatable for credit under different topic titles.",Prerequisite (Level 3 or above) or permission of the Department.,Faculty of Arts and Science,,,[],,Black Studies,BLCK,,"[""black studies"", ""interdisciplinary research"", ""repeatable"", ""faculty resources"", ""topic titles""]",
BLCK 460,Anti-Black Racism and Health,3.0,4.0,"This course examines the realities of anti-Black racism from the transatlantic slave trade and colonization to historical and contemporary policies and practices that have negatively impacted the health of African descendants and their communities within Canada and in transnational contexts. Using multiple analytic approaches and methodologies, the course will provide a strong understanding of Blackness and race as historically produced social constructs as well as how race interacts with other axes of diversity and social and commercial determinants to produce health outcomes. NOTE This course is also listed/offered as HLTH 460/3.0.",Prerequisite (Level 4 or above) or permission of the Department. Exclusion HLTH 460/3.0; HLTH 495/3.0 (Topic Title: Racism and Health - Winter 2022).,Faculty of Arts and Science,,,"[""HLTH 460/3.0"", ""HLTH 495/3.0""]",,Black Studies,BLCK,,"[""anti-Black racism"", ""transatlantic slave trade"", ""colonization"", ""health outcomes"", ""social constructs""]",
BLCK 480,Special Topics in Black Studies,3.0,4.0,"Offered when faculty resources permit, these courses are analyses of particular areas of black studies interdisciplinary research. Details regarding specific topics will be available from the Chair in Black Studies on an annual basis.
NOTE This course is repeatable for credit under different topic titles.",Prerequisite (Level 3 or above) or permission of the Department.,Faculty of Arts and Science,,,[],,Black Studies,BLCK,,"[""black studies"", ""interdisciplinary research"", ""repeatable"", ""faculty resources"", ""topic titles""]",
BLCK 594,Independent Study,3.0,,"Exceptionally qualified students entering their third- or fourth-year may take a program of independent study provided it has been approved by the Department or Departments principally involved. The Department may approve an independent study program without permitting it to be counted toward a concentration in that Department. It is, consequently, the responsibility of students taking such programs to ensure that the concentration requirements for their degree will be met.
NOTE Requests for such a program must be received one month before the start of the first term in which the student intends to undertake the program.",Prerequisite Permission of the Department or Departments principally involved.,Faculty of Arts and Science,,,[],,Black Studies,BLCK,,"[""independent study"", ""third-year"", ""fourth-year"", ""Department approval"", ""concentration requirements""]",
CANC 380,Evolutionary Biology of Cancer,3.0,3.0,"This online course is designed to introduce students to cancer as an evolutionary problem. The material is unique in that it emphasizes the impact of the immune system in fighting cancer while at the same time shaping tumour cell evolution. Students will need to synthesize the impact of factors present in the tumour microenvironment.
NOTE Also offered online.",Minimum 3rd year (Level 3) standing and one of (MICR 270/3.0; MICR 360/3.0; MICR 386/3.0) and one of (BCHM 270/3.0; BCHM 218/3.0).,Faculty of Health Sciences,,,[],,Cancer Research,CANC,Tiziana Cotechini,"[""cancer"", ""evolution"", ""immune system"", ""tumour microenvironment"", ""online""]","MICR 270, MICR 360, MICR 386, BCHM 270, BCHM 218"
CANC 440,Cancer Biology and Therapeutics,3.0,4.0,"A consideration of current knowledge and theories about the biology and treatment of cancer. The course will be presented in a small group format, with active student participation required.
NOTE Priority to students in the LISC Specialization Plan, CANC Sub-Plan.","Prerequisite (Level 4 or above and registration in a BCHM/LISC Major or Specialization, or BHSc program and a minimum GPA of 3.0 in [BCHM 218/3.0 or BCHM 370/3.0]).",Faculty of Health Sciences,,,[],,Cancer Research,CANC,,"[""cancer biology"", ""treatment"", ""small group"", ""active participation"", ""LISC Specialization""]","BCHM 218, BCHM 370"
CANC 499,Research Project in Cancer Biology and Genetics,12.0,4.0,"A research project involving the study of cancer biology or genetics. The project will be supervised by a faculty member associated with the Cancer Research Institute, and will provide opportunities for experimental design, data analysis and both written and oral presentation of results. Students must contact a potential faculty supervisor in the Spring preceding registration in fourth year. Enrolment is limited; acceptance by a supervisor required prior to registration.
NOTE Acceptance by a supervisor required prior to registration.
NOTE Students whose research requires the care and/or handling of animals must also complete the Introductory Animal Care Course and if required the appropriate Animal Use workshops through the Office of the University Veterinarian.",Prerequisite Level 4 and registration in the LISC Specialization Plan (CANC Sub-Plan) and a cumulative GPA of 2.50 or higher. Exclusion Maximum 12.0 units from: ANAT 499/12.0; ANAT 599/6.0; BCHM 421/6.0; BCHM 422/6.0; BCHM 594/3.0; BCHM 595/6.0; BCHM 596/12.0; CANC 499/12.0; DISC 591/3.0; DISC 592/3.0; DISC 593/3.0; DISC 594/3.0; DISC 598/6.0; DISC 599/6.0; EPID 499/12.0; EPID 595/6.0; HSCI 591/3.0; HSCI 592/3.0; HSCI 593/3.0; HSCI 594/3.0; HSCI 595/3.0; HSCI 598/6.0; HSCI 599/6.0; LISC 499/12.0*; LISC 594/3.0; LISC 595/6.0; LISC 596/12.0; LISC 598/9.0; MICR 499/12.0; NSCI 499/12.0; PATH 499/12.0; PATH 595/6.0; PHAR 499/12.0; PHGY 499/12.0; REPD 499/12.0.,Faculty of Health Sciences,,,"[""ANAT 499"", ""ANAT 599"", ""BCHM 421"", ""BCHM 422"", ""BCHM 594"", ""BCHM 595"", ""BCHM 596"", ""DISC 591"", ""DISC 592"", ""DISC 593"", ""DISC 594"", ""DISC 598"", ""DISC 599"", ""EPID 499"", ""EPID 595"", ""HSCI 591"", ""HSCI 592"", ""HSCI 593"", ""HSCI 594"", ""HSCI 595"", ""HSCI 598"", ""HSCI 599"", ""LISC 499"", ""LISC 594"", ""LISC 595"", ""LISC 596"", ""LISC 598"", ""MICR 499"", ""NSCI 499"", ""PATH 499"", ""PATH 595"", ""PHAR 499"", ""PHGY 499"", ""REPD 499""]",,Cancer Research,CANC,,"[""research project"", ""cancer biology"", ""genetics"", ""experimental design"", ""oral presentation""]",
CRSS 453,Principles in Cardiorespiratory Science I,3.0,4.0,"An advanced organ systems approach to the physiological principles underlying cardiac function and oxygen delivery using lectures, seminars, and selected readings. Topics include mechanics and regulation of heart function as well as perturbations in cardiac function. Oxygen delivery and utilization will be examined at the levels of the lung, blood, and tissue. The responses to alterations in oxygen demand and/or supply will also be addressed. Obstructive sleep apnea will be used as a model of a pathological cardiorespiratory system interactions.
NOTE Priority given to students in the CRSS Sub-Plan.","Prerequisite Minimum 4th year (Level 4) standing, registration in a LISC/BHSc Major or SSP, a GPA of 2.5, and one of [(PHGY 215 and PHGY 216); PHGY 214/6.0; PHGY 212/6.0].",Faculty of Health Sciences,,,[],,Cardiorespiratory Science,CRSS,,"[""cardiac function"", ""oxygen delivery"", ""obstructive sleep apnea"", ""cardiorespiratory system"", ""CRSS Sub-Plan""]","PHGY 215, PHGY 216, PHGY 214, PHGY 212"
CRSS 454,Cardiovascular Sciences,3.0,4.0,"A study of the physiology, pharmacology and anatomy of the cardiovascular system. Topics include integrative mechanisms of control and pharmacotherapy involved in short-term and long-term control of the circulation in health and disease.
NOTE Also offered online. Consult the Bachelor of Health Sciences program office.",Minimum 4th year (Level 4) standing and (registration in a LISC or BCHM MAJ or SSP Plan or BHSc program) and a GPA of 2.50. Exclusion LISC 454.,Faculty of Health Sciences,,,"[""LISC 454""]",,Cardiorespiratory Science,CRSS,Michael A Adams,"[""cardiovascular system"", ""pharmacotherapy"", ""circulation"", ""online"", ""BHSc program""]",
CRSS 456,Molecular and Cellular Basis of Cardiovascular Disease,3.0,4.0,"An intensive course surveying the molecular and cellular mechanisms underlying the pathophysiology of the major cardiovascular diseases, and the current and emerging tolls used in their diagnosis and treatment. Alterations in signalling, metabolism, and structure and function will be discussed to present an integrative view of how cardiovascular diseases develop and progress.
NOTE Priority given to students in the CRSS Sub-Plan.","Prerequisite (Level 4 and registration in a LISC Specialization or Major, or BHSc program and a minimum GPA of 2.5 and [PHGY 215/3.0 and PHGY 216/3.0]).",Faculty of Health Sciences,,,[],,Cardiorespiratory Science,CRSS,Donald Maurice,"[""cardiovascular diseases"", ""molecular mechanisms"", ""cellular mechanisms"", ""diagnosis"", ""CRSS Sub-Plan""]","PHGY 215, PHGY 216"
CRSS 498,Cardiorespiratory Rounds,3.0,4.0,"An advanced course in which students attend cardiology and respirology rounds in the Department of Medicine and prepare written and oral reports based on the material presented. The course will provide students with an in-depth exposure to topics in clinical cardiorespiratory science. The course will be offered in alternate years.
NOTE Priority given to students in the CRSS Sub-Plan.",Prerequisite Level 4 and registration in a LISC Major or Specialization Plan and a GPA of 2.5 and ([PHGY 215 and PHGY 216] or PHGY 214 or PHGY 212 or PHGY 210).,Faculty of Health Sciences,,,[],,Cardiorespiratory Science,CRSS,,"[""cardiology"", ""respirology"", ""clinical rounds"", ""oral reports"", ""CRSS Sub-Plan""]","PHGY 215, PHGY 216, PHGY 214, PHGY 212, PHGY 210"
CHIN 100,Introductory Mandarin Chinese I,6.0,1.0,"For students with no previous knowledge of Chinese. Students familiar with Cantonese or Mandarin will not be permitted to enroll. Introduction to the basic structural patterns and functional usage of the language including an emphasis on oral communication (both listening and speaking), reading and writing basic Chinese characters, as well as Chinese culture.",Prerequisite Level 1 or (Level 2 or above and a cumulative GPA of 1.90 or higher). Note Students will have their level of competence assessed by the instructor during orientation week in September.,Faculty of Arts and Science,,,[],,Chinese,CHIN,Xuelin Bai,"[""Chinese"", ""basic"", ""oral communication"", ""characters"", ""culture""]",
CHIN 200,Introductory Mandarin Chinese II,6.0,2.0,"For students with some knowledge of Cantonese who wish to acquire a command of Mandarin or for students with some knowledge of Mandarin who want to improve their Chinese language skills. Continued study of basic structural patterns of the language with the emphasis on oral communication, reading and writing using the simplified forms of Chinese characters.","Prerequisite CHIN 100/6.0 and permission of the Department of Languages, Literatures and Cultures. Note Students will have their level of competence assessed by the instructor during orientation week in September.",Faculty of Arts and Science,,,[],,Chinese,CHIN,,"[""Mandarin"", ""Cantonese"", ""basic structures"", ""oral communication"", ""simplified characters""]",CHIN 100
CHIN 300,Intermediate Mandarin Chinese,6.0,3.0,"Continuing study of the functional usage of Mandarin Chinese with intensive training in listening, speaking, reading and writing using the simplified forms of Chinese characters.","Prerequisite CHIN 200/6.0 and permission of the Department of Languages, Literatures and Cultures. Note Students will have their level of competence assessed by the instructor during orientation week in September.",Faculty of Arts and Science,,,[],,Chinese,CHIN,,"[""Mandarin"", ""listening"", ""speaking"", ""reading"", ""simplified characters""]",CHIN 200
CHEM 109,General Chemistry I: From Atoms to Matter,3.0,1.0,"A quantitative treatment of chemical phenomena and materials. Critical thinking and problem solving are emphasized. Topics include atomic structure and molecular bonding, nomenclature, thermodynamics, phase-transitions and condensed phases. Using information technology, labs, and problem-solving strategies, students will develop an appreciation for the relevance of chemistry to the solution of modern-day societal challenges.
NOTE Not offered at Queen's; only available as a transfer credit.
EXCLUSION CHEM 112; CHEM 113.",,Faculty of Arts and Science,,,"[""CHEM 112"", ""CHEM 113""]",,Chemistry,CHEM,,"[""quantitative"", ""atomic structure"", ""molecular bonding"", ""thermodynamics"", ""phase-transitions""]",
CHEM 110,General Chemistry II: Thermodynamics and Kinetics,3.0,1.0,"A quantitative treatment of chemical phenomena and materials. Critical thinking and problem solving are emphasized. Topics include thermodynamics, chemical equilibria, acids and bases, kinetics, electrochemistry and organic reactions. Using information technology, labs, and problem-solving strategies, students will develop an appreciation for the relevance of chemistry to the solution of modern-day societal challenges.
NOTE Laboratory Equipment (Lab Coat, Goggles, Blue Lab Book): estimated cost $67.
NOTE CHEM 109 and CHEM 110 together, are equivalent to CHEM 112.",Prerequisite CHEM 109/3.0. Recommended 4U Chemistry or equivalent. Exclusion CHEM 112/6.0; CHEM 114/3.0.,Faculty of Arts and Science,,,"[""CHEM 112"", ""CHEM 114""]",4U Chemistry or equivalent.,Chemistry,CHEM,,"[""quantitative"", ""thermodynamics"", ""chemical equilibria"", ""acids and bases"", ""kinetics""]",CHEM 109
CHEM 112,General Chemistry,6.0,1.0,"A survey of modern chemistry: structure and bonding, phases of matter, thermodynamics, acids, bases, electrochemistry, equilibria, kinetics and organic chemistry. Using information technology, labs, and problem-solving strategies, students will develop an appreciation for the relevance of chemistry to the solution of modern-day societal challenges.
NOTE Laboratory Equipment (Lab Coat, Goggles, Blue Lab Book): estimated cost $67.
NOTE Also offered at Bader College, UK (Learning Hours may vary).",Prerequisite None. Recommended 4U Chemistry or equivalent. Exclusion CHEM 109/3.0; CHEM 110/3.0; CHEM 113/3.0; CHEM 114/3.0; CHEM 117/1.5.,Faculty of Arts and Science,,,"[""CHEM 109"", ""CHEM 110"", ""CHEM 113"", ""CHEM 114"", ""CHEM 117""]",4U Chemistry or equivalent.,Chemistry,CHEM,"Kevin McEleney, Farnaz  Heidar-Zadeh, Gang Wu, Amanda Bongers, Kevin Stamplecoskie, Michael J Mombourquette, Wu Gang, Peng Wang, Stephen Brown","[""structure and bonding"", ""thermodynamics"", ""acids and bases"", ""electrochemistry"", ""kinetics""]",
CHEM 113,General Chemistry I (with Virtual Laboratory): From Atoms to Matter,3.0,1.0,"A quantitative treatment of chemical phenomena and materials. Critical thinking and problem solving are emphasized. Topics include atomic structure and molecular bonding, nomenclature, thermodynamics, phase-transitions and condensed phases. The virtual laboratory provides basic practice in different types of chemistry.
NOTE Only offered online, consult Arts and Science Online.",Prerequisite None. Exclusion CHEM 112/6.0. Recommended 4U Chemistry. Note Not normally intended for on-campus degree plans and certificates. Not appropriate for pre and upper level courses that have a laboratory component.,Faculty of Arts and Science,,,"[""CHEM 112""]",4U Chemistry. Note Not normally intended for on-campus degree plans and certificates. Not appropriate for pre and upper level courses that have a laboratory component.,Chemistry,CHEM,,"[""quantitative"", ""atomic structure"", ""molecular bonding"", ""thermodynamics"", ""phase-transitions""]",
CHEM 114,General Chemistry II (with Virtual Laboratory): Thermodynamics and Kinetics,3.0,1.0,"A quantitative treatment of chemical phenomena and materials. Critical thinking and problem solving are emphasized. Topics include thermodynamics, chemical equilibria, acids and bases, kinetics, electrochemistry and organic reactions. The virtual laboratory provides basic practice in different types of chemistry.
NOTE Only offered online, consult Arts and Science Online.",Prerequisite CHEM 113/3.0. Exclusion CHEM 112/6.0. Note Not normally intended for on-campus degree plans and certificates. Not appropriate for pre and upper level courses that have a laboratory component.,Faculty of Arts and Science,,,"[""CHEM 112""]",,Chemistry,CHEM,,"[""quantitative"", ""thermodynamics"", ""chemical equilibria"", ""acids and bases"", ""kinetics""]",CHEM 113
CHEM 117,General Chemistry Laboratory,1.5,1.0,"Laboratory course intended for students who have taken CHEM 113 and CHEM 114 online and wish to add a laboratory component (i.e., that of CHEM 112) that affords foundational experience in different types of chemistries (physical, analytical, etc.) through experiments in thermodynamics, neutralization, electrochemistry, equilibria, kinetics and organic chemistry.
NOTE Laboratory Equipment (Lab Coat, Goggles, Blue Lab Book): estimated cost $67.",Prerequisite CHEM 114/3.0. Exclusion CHEM 112/6.0.,Faculty of Arts and Science,,,"[""CHEM 112""]",,Chemistry,CHEM,,"[""laboratory"", ""thermodynamics"", ""neutralization"", ""electrochemistry"", ""kinetics""]",CHEM 114
CHEM 211,Main Group Chemistry,3.0,2.0,"An introduction to chemistry of main group inorganic and organic compounds with the use of fundamental quantum mechanics, molecular orbital diagrams and Lewis structures to describe the structure and bonding. The stereochemistry and chirality of organic compounds, solid state inorganic chemistry, and descriptive chemistry of compounds of the main group elements will be covered. The laboratory will introduce skills in inorganic and organic synthesis.
NOTE Laboratory Equipment (Lab Coat, Goggles, Carbon Lab Book): estimated cost $73.",Prerequisite (CHEM 109/3.0 and CHEM 110/3.0) or CHEM 112/6.0.,Faculty of Arts and Science,,,[],,Chemistry,CHEM,"Amanda Bongers, Peng Wang","[""inorganic"", ""organic"", ""quantum mechanics"", ""molecular orbital"", ""stereochemistry""]","CHEM 109, CHEM 110, CHEM 112"
