,Unnamed: 0,course_code,course_name,units,description,requirements,faculty,outcomes,prerequisites,corequisites,exclusions,recommended
213,53,BIOL 507,Biotechnology,3.00,"This course covers the ethical, societal and environmental impacts of biotechnology. There will be critical analysis of public policy and the value of biotechnologies to science and the public. Topics will likely include synthetic biology, human cloning, xenotransplants, stem cells, nanomaterials, marine biotechnology, eugenics, patenting, GMOs and the release of biotech products to the environment.","Prerequisite (Level 4 or above and registration in a Biology Honours Plan [BIOL-M-BSH, BIOL-P-BSH, BIMA-P-BSH, BIPS-P-BSH, BTEC-P-BSH, EBIO-P-BSH] and a minimum GPA of 2.0 in the Biological Foundations List) or permission of the Department. One-Way Exclusion May not be taken with or after BIOL 441/3.0.",Offering Faculty: Faculty of Arts and Science,,"(Level 4 or above and registration in a Biology Honours Plan [BIOL-M-BSH, BIOL-P-BSH, BIMA-P-BSH, BIPS-P-BSH, BTEC-P-BSH, EBIO-P-BSH] and a minimum GPA of 2.0 in the Biological Foundations List) or permission of the Department. One-Way",,May not be taken with or after BIOL 441/3.0.,
214,54,BIOL 508,Biology of the Cell Cycle,3.00,"Cell proliferation underlies development and tissue renewal and is implicated in many diseases. Our universal model of eukaryotic cell cycle control is based on studies in a number of model systems. The course will focus on control mechanisms, deriving information from systems as diverse as yeast and human cells.","Prerequisite (Level 4 or above and registration in a Biology Honours Plan [BIOL-M-BSH, BIOL-P-BSH, BIMA-P-BSH, BIPS-P-BSH, BTEC-P-BSH, EBIO-P-BSH] and a minimum GPA of 2.0 in the Biological Foundations List and [BCHM 218/3.0 or BIOL 330/3.0]) or permission of the Department.",Offering Faculty: Faculty of Arts and Science,,"(Level 4 or above and registration in a Biology Honours Plan [BIOL-M-BSH, BIOL-P-BSH, BIMA-P-BSH, BIPS-P-BSH, BTEC-P-BSH, EBIO-P-BSH] and a minimum GPA of 2.0 in the Biological Foundations List and [BCHM 218/3.0 or BIOL 330/3.0]) or permission of the Department.",,,
215,55,BIOL 509,Limnological Environmental Studies,3.00,"This course will explore ecological and evolutionary aspects of species invasions, with an emphasis on aquatic invaders. Course discussions will include such topics as invasive species and factors that influence their arrival, establishment, and spread, as well as management strategies that can be employed to reduce the arrival, establishment, and spread of invasive species.","Prerequisite (Level 4 or above and registration in a Biology Honours Plan [BIOL-M-BSH, BIOL-P-BSH, BIMA-P-BSH, BIPS-P-BSH, BTEC-P-BSH, EBIO-P-BSH] and a minimum GPA of 2.0 in the Biological Foundations List) or permission of the Department. Recommended BIOL 335/3.0.",Offering Faculty: Faculty of Arts and Science,,"(Level 4 or above and registration in a Biology Honours Plan [BIOL-M-BSH, BIOL-P-BSH, BIMA-P-BSH, BIPS-P-BSH, BTEC-P-BSH, EBIO-P-BSH] and a minimum GPA of 2.0 in the Biological Foundations List) or permission of the Department.",,,BIOL 335/3.0.
216,56,BIOL 510,The Biology of Sustainability,3.00,"This ecology course will identify and critique potential mechanisms by which our civilization could most effectively move toward more sustainable living. The topic incorporates many fundamental aspects of biology, and each course iteration may include biogeochemical, ecological, economic, social, genetic, philosophical, and behavioural components.","Prerequisite (Level 4 or above and registration in a Biology Honours Plan [BIOL-M-BSH, BIOL-P-BSH, BIMA-P-BSH, BIPS-P-BSH, BTEC-P-BSH, EBIO-P-BSH] and a minimum GPA of 2.0 in the Biological Foundations List) or permission of the Department. Recommended BIOL 300/3.0.",Offering Faculty: Faculty of Arts and Science,,"(Level 4 or above and registration in a Biology Honours Plan [BIOL-M-BSH, BIOL-P-BSH, BIMA-P-BSH, BIPS-P-BSH, BTEC-P-BSH, EBIO-P-BSH] and a minimum GPA of 2.0 in the Biological Foundations List) or permission of the Department.",,,BIOL 300/3.0.
217,57,BIOL 527,Paleolimnology and Global Environmental Change,3.00,"This course is mainly to provide students with a background in studies of long-term environmental change, with a focus on research that is especially relevant to today's environmental problems. Key topics include: climatic change, lake pollution, atmospheric deposition of contaminants and related topics.","Prerequisite (Level 4 or above and registration in a Biology Honours Plan [BIOL-M-BSH, BIOL-P-BSH, BIMA-P-BSH, BIPS-P-BSH, BTEC-P-BSH, EBIO-P-BSH] and a minimum GPA of 2.0 in the Biological Foundations List) or permission of the Department. Recommended BIOL 335/3.0.",Offering Faculty: Faculty of Arts and Science,,"(Level 4 or above and registration in a Biology Honours Plan [BIOL-M-BSH, BIOL-P-BSH, BIMA-P-BSH, BIPS-P-BSH, BTEC-P-BSH, EBIO-P-BSH] and a minimum GPA of 2.0 in the Biological Foundations List) or permission of the Department.",,,BIOL 335/3.0.
218,58,BIOL 530,Origins of Biodiversity,3.00,"This course uses the latitudinal increase in diversity towards the equator as a launching point to explore how diversity forms, is maintained, and disappears, and why we find such dramatic variation in diversity around the world. Discussions will focus on both evolutionary and ecological perspectives of diversity, and we will review various hypotheses to explain latitudinal diversity gradients.","Prerequisite (Level 4 or above and registration in a Biology Honours Plan [BIOL-M-BSH, BIOL-P-BSH, BIMA-P-BSH, BIPS-P-BSH, BTEC-P-BSH, EBIO-P-BSH] and a minimum GPA of 2.0 in the Biological Foundations List) or permission of the Department.",Offering Faculty: Faculty of Arts and Science,,"(Level 4 or above and registration in a Biology Honours Plan [BIOL-M-BSH, BIOL-P-BSH, BIMA-P-BSH, BIPS-P-BSH, BTEC-P-BSH, EBIO-P-BSH] and a minimum GPA of 2.0 in the Biological Foundations List) or permission of the Department.",,,
219,59,BIOL 531,Darwinism and Cultural Evolution,3.00,"Through seminars, essays, and group discussions, students explore ideas, research objectives, and recent discoveries in the application of Darwinian evolutionary theory to the interpretation of human nature, social life, and culture - and how these advances impact on our understanding of civilization and the challenges it faces for the 21st century.",Prerequisite BIOL 350/3.0.,Offering Faculty: Faculty of Arts and Science,,BIOL 350/3.0.,,,
220,60,BIOL 535,Selected Topics in Biology,3.00,"Topics vary from year to year. Please consult the Department of Biology website for more information.
NOTE This course is repeatable for credit under different topic titles.","Prerequisite Level 4 or above and registration in a Biology Honours Plan (BIOL-M-BSH, BIOL-P-BSH, BIMA-P-BSH, BIPS-P-BSH, BTEC-P-BSH, EBIO-P-BSH) and a minimum GPA of 2.0 in the Biological Foundations List and permission of the Department.",Offering Faculty: Faculty of Arts and Science,,"Level 4 or above and registration in a Biology Honours Plan (BIOL-M-BSH, BIOL-P-BSH, BIMA-P-BSH, BIPS-P-BSH, BTEC-P-BSH, EBIO-P-BSH) and a minimum GPA of 2.0 in the Biological Foundations List and permission of the Department.",,,
221,61,BIOL 537,Research in Biology,12.00,"Individual research projects under the supervision of a staff member; reported in the form of a thesis, poster, and seminar.
NOTE In the spring preceding fourth year, students must select projects in consultation with potential supervisors. Registration is subject to availability of a supervisor. Work on the project during summer is advantageous if field studies are required. See also the statement on BIOL 501/3.0-BIOL 536/3.0 in the BIOL Department Information, preliminary information section.",Prerequisite Admission to the final year of a BSCH program in Biology and a minimum GPA of 2.0 in the Biological Foundations List and permission of the project supervisor and course coordinator. Exclusion BIOL 541/12.0*.,Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Apply fundamental scientific principles and critical thinking skills to independently develop and conduct a novel and discrete biological research study.
Demonstrate key professional skills, such as advanced laboratory and/or field biological techniques, effective proposal and manuscript writing, oral communication, critical evaluation of the literature, lab team-work, and problem-solving.
Verbally synthesize the study and defend the main research findings and their interpretation at a standard appropriate for a professional scientific conference.
Analyze and interpret the study results, and present them and an evaluation of their significance in writing at a standard appropriate for a peer-reviewed science journal.
Constructively critique the strengths and weaknesses of other students’ studies to refine and improve their scientific value.",Admission to the final year of a BSCH program in Biology and a minimum GPA of 2.0 in the Biological Foundations List and permission of the project supervisor and course coordinator.,,BIOL 541/12.0*.,
222,62,BIOL 538,Research Mentorship in Biology I,3.00,"Research practicum under the supervision of a Biology faculty member. The course will involve a combination of research in the host laboratory, attendance of BIOL 537 or other seminars in the Department, and literature research to present as a major paper and seminar.
NOTE Students will normally be enrolled in the fourth year of their Program, having completed the third year core requirements of their Plan.","Prerequisite Registration in a Biology Honours Plan (BIOL-M-BSH, BIOL-P-BSH, BIMA-P-BSH, BIPS-P-BSH, EBIO-P-BSH) and a minimum GPA of 2.0 in the Biological Foundations List and permission of the Department. One-Way Exclusion Not to be taken concurrently with BIOL 537/12.0.",Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Demonstrate the ability to use advanced lab and field biological techniques to conduct novel scientific research on a problem or question relevant to a particular faculty's lab group program.
Describe and evaluate the background information and contemporary arguments from the literature associated with that problem or question, so as to explain the rationale for its investigation.
Present the results of their experiments in a seminar format, discuss the implications of the findings, and orally defend the conclusions.
Present the research findings in the form of a manuscript or essay that is accessible to a broad audience ranging from experts to the general public.
Demonstrate key professional skills, such as laboratory techniques, effective writing, oral communication, critical evaluation of the literature, lab team-work, and problem-solving.
Constructively critique the strengths and weaknesses of other students’ studies to refine and improve their scientific value.","Registration in a Biology Honours Plan (BIOL-M-BSH, BIOL-P-BSH, BIMA-P-BSH, BIPS-P-BSH, EBIO-P-BSH) and a minimum GPA of 2.0 in the Biological Foundations List and permission of the Department. One-Way",,Not to be taken concurrently with BIOL 537/12.0.,
223,63,BIOL 539,Research Mentorship in Biology II,3.00,"Research practicum under the supervision of a Biology faculty member. The course will involve a combination of research in the host laboratory, attendance of BIOL 537 or other seminars in the Department, and literature research to present as a major paper and seminar.
NOTE Students will normally be enrolled in the fourth year of their Program, having completed the third year core requirements of their Plan.","Prerequisite Registration in a Biology Honours Plan (BIOL-M-BSH, BIOL-P-BSH, BIMA-P-BSH, BIPS-P-BSH, EBIO-P-BSH) and a minimum GPA of 2.0 in the Biological Foundations List and permission of the Department. Corequisite BIOL 538/3.0. One-Way Exclusion Not to be taken concurrently with BIOL 537/12.0.",Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Demonstrate the ability to use advanced lab and field biological techniques to conduct novel scientific research on a problem or question relevant to a particular faculty's lab group program.
Describe and evaluate the background information and contemporary arguments from the literature associated with that problem or question, so as to explain the rationale for its investigation.
Present the results of their experiments in a seminar format, discuss the implications of the findings, and orally defend the conclusions.
Present the research findings in the form of a manuscript or essay that is accessible to a broad audience ranging from experts to the general public.
Demonstrate key professional skills, such as laboratory techniques, effective writing, oral communication, critical evaluation of the literature, lab team-work, and problem-solving.
Constructively critique the strengths and weaknesses of other students’ studies to refine and improve their scientific value.","Registration in a Biology Honours Plan (BIOL-M-BSH, BIOL-P-BSH, BIMA-P-BSH, BIPS-P-BSH, EBIO-P-BSH) and a minimum GPA of 2.0 in the Biological Foundations List and permission of the Department.",BIOL 538/3.0. One-Way,Not to be taken concurrently with BIOL 537/12.0.,
224,64,BIOL 540,Research Mentorship in Biology,6.00,"Research practicum under the supervision of a Biology faculty member. The course will involve a combination of research in the host laboratory, attendance of BIOL 537 or other seminars in the Department, and literature research to present as a major paper and seminar.
NOTE Students will normally be enrolled in the fourth year of their Program, having completed the third year core requirements of their Plan.","Prerequisite Registration in a Biology Honours Plan (BIOL-M-BSH, BIOL-P-BSH, BIMA-P-BSH, BIPS-P-BSH, EBIO-P-BSH) and a minimum GPA of 2.0 in the Biological Foundations List and permission of the Department. One-Way Exclusion Not to be taken concurrently with BIOL 537/12.0.",Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Demonstrate the ability to use advanced lab and field biological techniques to conduct novel scientific research on a problem or question relevant to a particular faculty's lab group program.
Describe and evaluate the background information and contemporary arguments from the literature associated with that problem or question, so as to explain the rationale for its investigation.
Present the results of their experiments in a seminar format, discuss the implications of the findings, and orally defend the conclusions.
Present the research findings in the form of a manuscript or essay that is accessible to a broad audience ranging from experts to the general public.
Demonstrate key professional skills, such as laboratory techniques, effective writing, oral communication, critical evaluation of the literature, lab team-work, and problem-solving.
Constructively critique the strengths and weaknesses of other students’ studies to refine and improve their scientific value.","Registration in a Biology Honours Plan (BIOL-M-BSH, BIOL-P-BSH, BIMA-P-BSH, BIPS-P-BSH, EBIO-P-BSH) and a minimum GPA of 2.0 in the Biological Foundations List and permission of the Department. One-Way",,Not to be taken concurrently with BIOL 537/12.0.,
225,65,BIOL 594,Independent Study,3.00,"Exceptionally qualified students entering their third- or fourth-year may take a program of independent study provided it has been approved by the Department or Departments principally involved. The Department may approve an independent study program without permitting it to be counted toward a concentration in that Department. It is, consequently, the responsibility of students taking such programs to ensure that the concentration requirements for their degree will be met.
NOTE Requests for such a program must be received one month before the start of the first term in which the student intends to undertake the program.
NOTE Also offered at Bader College, UK.",Prerequisite Permission of the Department or Departments principally involved.,Offering Faculty: Faculty of Arts and Science,,Permission of the Department or Departments principally involved.,,,
226,66,BIOL 595,Independent Study,6.00,"Exceptionally qualified students entering their third- or fourth-year may take a program of independent study provided it has been approved by the Department or Departments principally involved. The Department may approve an independent study program without permitting it to be counted toward a concentration in that Department. It is, consequently, the responsibility of students taking such programs to ensure that the concentration requirements for their degree will be met.
NOTE Requests for such a program must be received one month before the start of the first term in which the student intends to undertake the program.",Prerequisite Permission of the Department or Departments principally involved.,Offering Faculty: Faculty of Arts and Science,,Permission of the Department or Departments principally involved.,,,
227,67,BIOL 596,Independent Study,12.00,"Exceptionally qualified students entering their third- or fourth-year may take a program of independent study provided it has been approved by the Department or Departments principally involved. The Department may approve an independent study program without permitting it to be counted toward a concentration in that Department. It is, consequently, the responsibility of students taking such programs to ensure that the concentration requirements for their degree will be met.
NOTE Requests for such a program must be received one month before the start of the first term in which the student intends to undertake the program.",Prerequisite Permission of the Department or Departments principally involved.,Offering Faculty: Faculty of Arts and Science,,Permission of the Department or Departments principally involved.,,,
228,68,BIOL 597,Independent Study,18.00,"Exceptionally qualified students entering their third- or fourth-year may take a program of independent study provided it has been approved by the Department or Departments principally involved. The Department may approve an independent study program without permitting it to be counted toward a concentration in that Department. It is, consequently, the responsibility of students taking such programs to ensure that the concentration requirements for their degree will be met.
NOTE Requests for such a program must be received one month before the start of the first term in which the student intends to undertake the program.",Prerequisite Permission of the Department or Departments principally involved.,Offering Faculty: Faculty of Arts and Science,,Permission of the Department or Departments principally involved.,,,
229,69,BIOL 598,Independent Study,9.00,"Exceptionally qualified students entering their third- or fourth-year may take a program of independent study provided it has been approved by the Department or Departments principally involved. The Department may approve an independent study program without permitting it to be counted toward a concentration in that Department. It is, consequently, the responsibility of students taking such programs to ensure that the concentration requirements for their degree will be met.
NOTE Requests for such a program must be received one month before the start of the first term in which the student intends to undertake the program.",Prerequisite Permission of the Department or Departments principally involved.,Offering Faculty: Faculty of Arts and Science,,Permission of the Department or Departments principally involved.,,,
230,0,BLCK 200,Black Studies and the Politics of Liberation: An Introduction,3.00,"This course will introduce students to black studies. Focusing on liberation struggles that are nested in black scholarly and creative works, the course maps out how black diasporic communities have navigated and resisted racism, white supremacy, and other forms of oppression.",Prerequisite None. Exclusion GNDS 380/3.0 (Topic Title: Introduction to Black Studies - Fall 2020).,Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Critically analyze race as a historical and contemporary social construct and its relationship to blackness, sexuality, class, and other identifications.
Assemble critical tools and theoretical concepts, and develop interdisciplinary methodological tools, in the area of black studies.
Describe major trends across various black liberation movements.
Explain theories and practices of anti-racism.
Compose, critique, and critically engage creative texts as sites of struggle.
Research and write independently; research and write collaboratively.",None.,,GNDS 380/3.0 (Topic Title: Introduction to Black Studies - Fall 2020).,
231,1,BLCK 220,African Literature on These Indigenous Lands,3.00,"Through a selection of readings by African writers and artists, students are asked to read and think alongside Indigenous writers and artists about what it means to be human, to be in relation, to remember, and to resist. Students will be introduced to contemporary literary works, artistic productions and theories arising from encountering these works in dialogue. Students will learn to evaluate these works as spaces of political solidarity and critical thinking between writers and writing across continents.","Prerequisite (Level 2 or above) or permission of the Department. Exclusion BLCK 280/3.0 (Topic Title: Black and Indigenous Poetics - Fall 2022, Fall 2023).",Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Introduce students to contemporary African and Indigenous writing and art production.
Read and respond to contemporary African and Indigenous writing and art production.
Illustrate spaces of solidarity and conversations that arise from reading these works together.
Understand and recognize the effects of colonialism and the work of resistance across continents.
Discuss strategies for thinking, writing and making connections towards liberation.",(Level 2 or above) or permission of the Department.,,"BLCK 280/3.0 (Topic Title: Black and Indigenous Poetics - Fall 2022, Fall 2023).",
232,2,BLCK 280,Special Topics in Black Studies,3.00,"Offered when faculty resources permit, these courses are analyses of particular areas of black studies interdisciplinary research. Details regarding specific topics will be available from the Chair in Black Studies on an annual basis.
NOTE This course is repeatable for credit under different topic titles.",Prerequisite (Level 2 or above) or permission of the Department.,Offering Faculty: Faculty of Arts and Science,,(Level 2 or above) or permission of the Department.,,,
233,3,BLCK 312,Black Feminist Thought: An Introduction,3.00,"Studies in black women's and black gender politics in Canada, the U.S.A., and the Caribbean.
NOTE This course is also listed/offered as GNDS 312/3.0.",Prerequisite (Level 3 or above) or permission of the Department. Exclusion GNDS 312/3.0.,Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Identify key topics, questions, theories and methods in the field of Black Feminisms.
Understand the wide-ranging and intersectional impact of Black Feminist Thought and their own relationship to Black Feminisms.
Explain the role of power and context in shaping Black Feminist epistemologies and methodologies.
Develop critical thinking skills fostering their abilities to deeply analyze and evaluate Black Feminist Thought through varied disciplines and contexts.
Identify past and current praxis of Black Feminist activism and organizing.",(Level 3 or above) or permission of the Department.,,GNDS 312/3.0.,
234,4,BLCK 320,Black Environmentalism: A Global South Perspective,3.00,"This course examines the historical and contemporary environmental issues facing the global South today, including climate and environmental change, resource management (resource extraction and habitat conservation), toxic waste dumping, informal recycling economies, environmental (in)justice, etc. through an interdisciplinary methodology drawing on literature from Racial Capitalism, Environmental Studies, Political Ecology, Black Eco-poetics, Black Studies, and Geographies, and more broadly, using case studies from the global South and works from global South scholars.","Prerequisite (Level 3 or above) or permission of the Department. Exclusion BLCK 380/3.0 (Topic Title: Black Environmentalism: A Global South Perspective - Winter 2023, Winter 2024).",Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Explain key theoretical approaches and concepts in the field of Black Environmentalism and Ecologies.
Describe the relationship between race, colonialism, capitalism, and how it leads to the inequitable distributions of environmental harms and/or externalities on communities of colour.
Reflect on how the histories and lived experiences of black communities in the global south have been shaped by the processes of racism, colonialism, and uneven global development.
Compare how culture informs one's values and beliefs on issues of environmental injustice and anti-black racism prior to and after this course.
Communicate a key concept from the course (i.e., environmental racism) in plain language format to a nonacademic audience to practice transferrable skills beyond the class.
Demonstrate competency in, and a commitment to equity-related principles, e.g., anti-black racism by exploring their own relationships to power, and privilege within their personal and professional interactions.
Practice effective time management techniques to improve concentration and productivity.",(Level 3 or above) or permission of the Department.,,"BLCK 380/3.0 (Topic Title: Black Environmentalism: A Global South Perspective - Winter 2023, Winter 2024).",
235,5,BLCK 360,Globalization and Black Health,3.00,"Global interconnectedness and interdependence have contributed to improvements in the social determinants of health (SDH): the conditions in which people live, work and play, and their access to opportunities for healthy lives and well-being, however, it has also brought many health risks especially for marginalized populations. This course will examine economic, social, technological, and the political dimensions of globalization and how these impact the health and well-being of Black populations, identifying opportunities and risks.
NOTE This course is also listed/offered as HLTH 360/3.0.","Prerequisite (Level 3 or above) or permission of the Department. Exclusion BLCK 380/3.0 (Topic Title: Globalization and Black Health - Fall 2022); HLTH 360/3.0; HLTH 397/3.0 (Topic Title: Globalization and Black Health - Winter 2022, Fall 2022).",Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Develop critical understanding of how conditions of power shape Black Health.
Explain global Black health inequities and their social and commercial determinants.
Identify the importance of practices that promote cultural safety and Black health equity.
Identify opportunities to operationalize strategies to promote global Black Health.",(Level 3 or above) or permission of the Department.,,"BLCK 380/3.0 (Topic Title: Globalization and Black Health - Fall 2022); HLTH 360/3.0; HLTH 397/3.0 (Topic Title: Globalization and Black Health - Winter 2022, Fall 2022).",
236,6,BLCK 380,Special Topics in Black Studies,3.00,"Offered when faculty resources permit, these courses are analyses of particular areas of black studies interdisciplinary research. Details regarding specific topics will be available from the Chair in Black Studies on an annual basis.
NOTE This course is repeatable for credit under different topic titles.",Prerequisite (Level 3 or above) or permission of the Department.,Offering Faculty: Faculty of Arts and Science,,(Level 3 or above) or permission of the Department.,,,
237,7,BLCK 460,Anti-Black Racism and Health,3.00,"This course examines the realities of anti-Black racism from the transatlantic slave trade and colonization to historical and contemporary policies and practices that have negatively impacted the health of African descendants and their communities within Canada and in transnational contexts. Using multiple analytic approaches and methodologies, the course will provide a strong understanding of Blackness and race as historically produced social constructs as well as how race interacts with other axes of diversity and social and commercial determinants to produce health outcomes. NOTE This course is also listed/offered as HLTH 460/3.0.",Prerequisite (Level 4 or above) or permission of the Department. Exclusion HLTH 460/3.0; HLTH 495/3.0 (Topic Title: Racism and Health - Winter 2022).,Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Critically assess how conditions of power shape social determinants and health inequities.
Demonstrate a critical understanding of anti-Black racism and colonialism and their impact on health of African/Black populations from an intersectional perspective.
Identify opportunities to operationalize strategies to advance racial health equity.
Apply clear, critical, and creative knowledge translation skills.
Collaborate with peers and apply leadership and public speaking skills.",(Level 4 or above) or permission of the Department.,,HLTH 460/3.0; HLTH 495/3.0 (Topic Title: Racism and Health - Winter 2022).,
238,8,BLCK 480,Special Topics in Black Studies,3.00,"Offered when faculty resources permit, these courses are analyses of particular areas of black studies interdisciplinary research. Details regarding specific topics will be available from the Chair in Black Studies on an annual basis.
NOTE This course is repeatable for credit under different topic titles.",Prerequisite (Level 3 or above) or permission of the Department.,Offering Faculty: Faculty of Arts and Science,,(Level 3 or above) or permission of the Department.,,,
239,9,BLCK 594,Independent Study,3.00,"Exceptionally qualified students entering their third- or fourth-year may take a program of independent study provided it has been approved by the Department or Departments principally involved. The Department may approve an independent study program without permitting it to be counted toward a concentration in that Department. It is, consequently, the responsibility of students taking such programs to ensure that the concentration requirements for their degree will be met.
NOTE Requests for such a program must be received one month before the start of the first term in which the student intends to undertake the program.",Prerequisite Permission of the Department or Departments principally involved.,Offering Faculty: Faculty of Arts and Science,,Permission of the Department or Departments principally involved.,,,
240,0,CANC 380,Evolutionary Biology of Cancer,3.00,"This online course is designed to introduce students to cancer as an evolutionary problem. The material is unique in that it emphasizes the impact of the immune system in fighting cancer while at the same time shaping tumour cell evolution. Students will need to synthesize the impact of factors present in the tumour microenvironment.
NOTE Also offered online.",Minimum 3rd year (Level 3) standing and one of (MICR 270/3.0; MICR 360/3.0; MICR 386/3.0) and one of (BCHM 270/3.0; BCHM 218/3.0).,Offering Faculty: Faculty of Health Sciences,"Course Learning Outcomes:
Acquire a basic understanding of the evolutionary nature of cancer to recognize and evaluate the contribution of tumour heterogeneity and plasticity to cancer progression.
Analyze the tumour microenvironment to define its role in tumour invasion and its link to metastasis.
Characterize the role of immunity and inflammation in cancer and to define their contributions to cancer control or progression.
Recognize the impact of cancer on society and major milestones in cancer research to appreciate the successes of therapies and to assess the need for further development.
To apply an understanding of therapeutic selectivity to identify and evaluate the potential benefits and adverse effects of different therapeutic interventions in cancer.",,,,
241,1,CANC 440,Cancer Biology and Therapeutics,3.00,"A consideration of current knowledge and theories about the biology and treatment of cancer. The course will be presented in a small group format, with active student participation required.
NOTE Priority to students in the LISC Specialization Plan, CANC Sub-Plan.","Prerequisite (Level 4 or above and registration in a BCHM/LISC Major or Specialization, or BHSc program and a minimum GPA of 3.0 in [BCHM 218/3.0 or BCHM 370/3.0]).",Offering Faculty: Faculty of Health Sciences,"Course Learning Outcomes:
Understand the current state of knowledge of the biology, pathology and clinical outcomes of multiple forms of cancer, and relate how these factors determine established and experimental diagnostic and therapeutic approaches.
Discuss major issues related to the biology, pathology, diagnostics and therapeutics of each disease, in a small group student presentation format.
Synthesize knowledge you have acquired through the course to propose and justify your own novel approach to cancer diagnosis or treatment.","(Level 4 or above and registration in a BCHM/LISC Major or Specialization, or BHSc program and a minimum GPA of 3.0 in [BCHM 218/3.0 or BCHM 370/3.0]).",,,
242,2,CANC 499,Research Project in Cancer Biology and Genetics,12.00,"A research project involving the study of cancer biology or genetics. The project will be supervised by a faculty member associated with the Cancer Research Institute, and will provide opportunities for experimental design, data analysis and both written and oral presentation of results. Students must contact a potential faculty supervisor in the Spring preceding registration in fourth year. Enrolment is limited; acceptance by a supervisor required prior to registration.
NOTE Acceptance by a supervisor required prior to registration.
NOTE Students whose research requires the care and/or handling of animals must also complete the Introductory Animal Care Course and if required the appropriate Animal Use workshops through the Office of the University Veterinarian.",Prerequisite Level 4 and registration in the LISC Specialization Plan (CANC Sub-Plan) and a cumulative GPA of 2.50 or higher. Exclusion Maximum 12.0 units from: ANAT 499/12.0; ANAT 599/6.0; BCHM 421/6.0; BCHM 422/6.0; BCHM 594/3.0; BCHM 595/6.0; BCHM 596/12.0; CANC 499/12.0; DISC 591/3.0; DISC 592/3.0; DISC 593/3.0; DISC 594/3.0; DISC 598/6.0; DISC 599/6.0; EPID 499/12.0; EPID 595/6.0; HSCI 591/3.0; HSCI 592/3.0; HSCI 593/3.0; HSCI 594/3.0; HSCI 595/3.0; HSCI 598/6.0; HSCI 599/6.0; LISC 499/12.0*; LISC 594/3.0; LISC 595/6.0; LISC 596/12.0; LISC 598/9.0; MICR 499/12.0; NSCI 499/12.0; PATH 499/12.0; PATH 595/6.0; PHAR 499/12.0; PHGY 499/12.0; REPD 499/12.0.,Offering Faculty: Faculty of Health Sciences,,Level 4 and registration in the LISC Specialization Plan (CANC Sub-Plan) and a cumulative GPA of 2.50 or higher.,,Maximum 12.0 units from: ANAT 499/12.0; ANAT 599/6.0; BCHM 421/6.0; BCHM 422/6.0; BCHM 594/3.0; BCHM 595/6.0; BCHM 596/12.0; CANC 499/12.0; DISC 591/3.0; DISC 592/3.0; DISC 593/3.0; DISC 594/3.0; DISC 598/6.0; DISC 599/6.0; EPID 499/12.0; EPID 595/6.0; HSCI 591/3.0; HSCI 592/3.0; HSCI 593/3.0; HSCI 594/3.0; HSCI 595/3.0; HSCI 598/6.0; HSCI 599/6.0; LISC 499/12.0*; LISC 594/3.0; LISC 595/6.0; LISC 596/12.0; LISC 598/9.0; MICR 499/12.0; NSCI 499/12.0; PATH 499/12.0; PATH 595/6.0; PHAR 499/12.0; PHGY 499/12.0; REPD 499/12.0.,
243,0,CRSS 453,Principles in Cardiorespiratory Science I,3.00,"An advanced organ systems approach to the physiological principles underlying cardiac function and oxygen delivery using lectures, seminars, and selected readings. Topics include mechanics and regulation of heart function as well as perturbations in cardiac function. Oxygen delivery and utilization will be examined at the levels of the lung, blood, and tissue. The responses to alterations in oxygen demand and/or supply will also be addressed. Obstructive sleep apnea will be used as a model of a pathological cardiorespiratory system interactions.
NOTE Priority given to students in the CRSS Sub-Plan.","Prerequisite Minimum 4th year (Level 4) standing, registration in a LISC/BHSc Major or SSP, a GPA of 2.5, and one of [(PHGY 215 and PHGY 216); PHGY 214/6.0; PHGY 212/6.0].",Offering Faculty: Faculty of Health Sciences,"Course Learning Outcomes:
Gain advanced understanding of cardiorespiratory systems by scrutinizing diseased states and major discoveries.
Build skills in presentation of complex topics and scientific writing.","Minimum 4th year (Level 4) standing, registration in a LISC/BHSc Major or SSP, a GPA of 2.5, and one of [(PHGY 215 and PHGY 216); PHGY 214/6.0; PHGY 212/6.0].",,,
