natural_language_query,sql_query
show me first year Black Studies courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'Black Studies' AND prereq_codes IS NULL"
list all third year Environmental Science courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Environmental Science' AND prereq_codes IS NULL"
find all 2nd year Mechanical Engineering courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_name = 'Mechanical Engineering' AND prereq_codes IS NULL"
show me 1st year Cardiorespiratory Science courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'Cardiorespiratory Science' AND prereq_codes IS NULL"
second year Environmental Science courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_name = 'Environmental Science' AND prereq_codes IS NULL"
I need third year Chemistry courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Chemistry' AND prereq_codes IS NULL"
which second year Biochemistry courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_name = 'Biochemistry' AND prereq_codes IS NULL"
I need first year Economics courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'Economics' AND prereq_codes IS NULL"
what are the 3rd year Liberal Studies courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Liberal Studies' AND prereq_codes IS NULL"
"I need first year Languages, Literatures, and Cultures courses without any prerequisites","SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'Languages, Literatures, and Cultures' AND prereq_codes IS NULL"
find all third year Jewish Studies courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Jewish Studies' AND prereq_codes IS NULL"
list all third year Greek courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Greek' AND prereq_codes IS NULL"
what are the 4th year Drama courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'Drama' AND prereq_codes IS NULL"
fourth year Computer Engineering courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'Computer Engineering' AND prereq_codes IS NULL"
what are the 4th year Linguistics courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'Linguistics' AND prereq_codes IS NULL"
get me 4th year Black Studies courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'Black Studies' AND prereq_codes IS NULL"
show me 1st year Latin courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'Latin' AND prereq_codes IS NULL"
I want to see 3rd year Environmental Science courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Environmental Science' AND prereq_codes IS NULL"
get me fourth year Chemical Engineering courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'Chemical Engineering' AND prereq_codes IS NULL"
"get me first year Languages, Literatures, and Cultures courses without any prerequisites","SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'Languages, Literatures, and Cultures' AND prereq_codes IS NULL"
which 4th year Psychology courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'Psychology' AND prereq_codes IS NULL"
I need 2nd year Reproduction & Development courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_name = 'Reproduction & Development' AND prereq_codes IS NULL"
get me 2nd year Latin courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_name = 'Latin' AND prereq_codes IS NULL"
what are the third year Astronomy courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Astronomy' AND prereq_codes IS NULL"
which fourth year Astronomy courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'Astronomy' AND prereq_codes IS NULL"
what are the first year Pathology & Molecular Medicine courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'Pathology & Molecular Medicine' AND prereq_codes IS NULL"
get me 2nd year Spanish courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_name = 'Spanish' AND prereq_codes IS NULL"
list all third year Classical Studies courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Classical Studies' AND prereq_codes IS NULL"
list all fourth year Global Development Studies courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'Global Development Studies' AND prereq_codes IS NULL"
get me first year French Language & Literature courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'French Language & Literature' AND prereq_codes IS NULL"
what are the 3rd year Jewish Studies courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Jewish Studies' AND prereq_codes IS NULL"
I want to see third year Gender Studies courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Gender Studies' AND prereq_codes IS NULL"
what are the 2nd year Mining Engineering courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_name = 'Mining Engineering' AND prereq_codes IS NULL"
which first year Mining Technology courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'Mining Technology' AND prereq_codes IS NULL"
which third year Reproduction & Development courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Reproduction & Development' AND prereq_codes IS NULL"
list all 4th year Psychology courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'Psychology' AND prereq_codes IS NULL"
what are the third year Philosophy courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Philosophy' AND prereq_codes IS NULL"
second year Black Studies courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_name = 'Black Studies' AND prereq_codes IS NULL"
list all fourth year Arts & Science: Interdisciplinary courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'Arts & Science: Interdisciplinary' AND prereq_codes IS NULL"
get me 4th year Art History courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'Art History' AND prereq_codes IS NULL"
which fourth year Computing & the Creative Arts courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'Computing & the Creative Arts' AND prereq_codes IS NULL"
which third year International Studies courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'International Studies' AND prereq_codes IS NULL"
first year Creative Writing courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'Creative Writing' AND prereq_codes IS NULL"
what are the third year Community Health & Epidemiology courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Community Health & Epidemiology' AND prereq_codes IS NULL"
get me 2nd year Cardiorespiratory Science courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_name = 'Cardiorespiratory Science' AND prereq_codes IS NULL"
which 3rd year Statistics courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Statistics' AND prereq_codes IS NULL"
show me 2nd year History courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_name = 'History' AND prereq_codes IS NULL"
which third year Drug Development & Human Toxicology courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Drug Development & Human Toxicology' AND prereq_codes IS NULL"
find all 4th year Electrical Engineering courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'Electrical Engineering' AND prereq_codes IS NULL"
which third year Mining Technology courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Mining Technology' AND prereq_codes IS NULL"
get me 2nd year French Language & Literature courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_name = 'French Language & Literature' AND prereq_codes IS NULL"
"what are the third year Languages, Literatures, and Cultures courses without any prerequisites","SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Languages, Literatures, and Cultures' AND prereq_codes IS NULL"
what are the 1st year Computing & the Creative Arts courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'Computing & the Creative Arts' AND prereq_codes IS NULL"
I want to see first year Mining Engineering courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'Mining Engineering' AND prereq_codes IS NULL"
what are the 3rd year Reproduction & Development courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Reproduction & Development' AND prereq_codes IS NULL"
third year Visual Art courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Visual Art' AND prereq_codes IS NULL"
which fourth year Civil Engineering courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'Civil Engineering' AND prereq_codes IS NULL"
I want to see 2nd year Cardiorespiratory Science courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_name = 'Cardiorespiratory Science' AND prereq_codes IS NULL"
list all 2nd year Interdisciplinary Studies courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_name = 'Interdisciplinary Studies' AND prereq_codes IS NULL"
I want to see second year Mining Technology courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_name = 'Mining Technology' AND prereq_codes IS NULL"
which 4th year Artificial Intelligence courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'Artificial Intelligence' AND prereq_codes IS NULL"
what are the fourth year Geography courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'Geography' AND prereq_codes IS NULL"
show me 2nd year Geology courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_name = 'Geology' AND prereq_codes IS NULL"
show me first year Biology courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'Biology' AND prereq_codes IS NULL"
find all 4th year Mathematics courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'Mathematics' AND prereq_codes IS NULL"
I want to see 3rd year Physics courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Physics' AND prereq_codes IS NULL"
find all 2nd year Psychology courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_name = 'Psychology' AND prereq_codes IS NULL"
find all second year Pharmacology & Toxicology courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_name = 'Pharmacology & Toxicology' AND prereq_codes IS NULL"
what are the fourth year Drug Development & Human Toxicology courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'Drug Development & Human Toxicology' AND prereq_codes IS NULL"
I need second year Bader College courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_name = 'Bader College' AND prereq_codes IS NULL"
what are the first year Interdisciplinary Studies courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'Interdisciplinary Studies' AND prereq_codes IS NULL"
what are the second year Cardiorespiratory Science courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_name = 'Cardiorespiratory Science' AND prereq_codes IS NULL"
"which third year Languages, Literatures, and Cultures courses without any prerequisites","SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Languages, Literatures, and Cultures' AND prereq_codes IS NULL"
I want to see second year Queen's Global Summer Program courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_name = 'Queen's Global Summer Program' AND prereq_codes IS NULL"
show me 2nd year Statistics Multi Disciplines courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_name = 'Statistics Multi Disciplines' AND prereq_codes IS NULL"
what are the 4th year Mining Technology courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'Mining Technology' AND prereq_codes IS NULL"
3rd year Electrical Engineering courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Electrical Engineering' AND prereq_codes IS NULL"
I want to see 3rd year Drug Development & Human Toxicology courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Drug Development & Human Toxicology' AND prereq_codes IS NULL"
second year Inuktitut courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_name = 'Inuktitut' AND prereq_codes IS NULL"
list all fourth year Linguistics courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'Linguistics' AND prereq_codes IS NULL"
get me 1st year Engineering Chemistry courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'Engineering Chemistry' AND prereq_codes IS NULL"
what are the 1st year Gender Studies courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'Gender Studies' AND prereq_codes IS NULL"
show me first year Liberal Studies courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'Liberal Studies' AND prereq_codes IS NULL"
find all second year Hebrew courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_name = 'Hebrew' AND prereq_codes IS NULL"
show me first year Film & Media courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'Film & Media' AND prereq_codes IS NULL"
I want to see 1st year Chinese courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'Chinese' AND prereq_codes IS NULL"
I need second year Indigenous Knowledges & Perspectives courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_name = 'Indigenous Knowledges & Perspectives' AND prereq_codes IS NULL"
find all 4th year Philosophy courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'Philosophy' AND prereq_codes IS NULL"
what are the second year Computer Engineering courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_name = 'Computer Engineering' AND prereq_codes IS NULL"
get me 3rd year English Language & Literature courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'English Language & Literature' AND prereq_codes IS NULL"
which 3rd year Language Acquisition courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Language Acquisition' AND prereq_codes IS NULL"
I want to see 4th year Biochemistry courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'Biochemistry' AND prereq_codes IS NULL"
what are the 4th year Neuroscience courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'Neuroscience' AND prereq_codes IS NULL"
what are the fourth year Global Development Studies courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'Global Development Studies' AND prereq_codes IS NULL"
what are the first year Drama courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'Drama' AND prereq_codes IS NULL"
show me second year Engineering Physics courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_name = 'Engineering Physics' AND prereq_codes IS NULL"
list all first year Latin courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'Latin' AND prereq_codes IS NULL"
get me 3rd year Professional Internship courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Professional Internship' AND prereq_codes IS NULL"
I need fourth year Pathology & Molecular Medicine courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'Pathology & Molecular Medicine' AND prereq_codes IS NULL"
what are the second year Liberal Studies courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_name = 'Liberal Studies' AND prereq_codes IS NULL"
third year Computing & Information Science courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Computing & Information Science' AND prereq_codes IS NULL"
I need third year Economics courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Economics' AND prereq_codes IS NULL"
list all fourth year Computing & the Creative Arts courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'Computing & the Creative Arts' AND prereq_codes IS NULL"
3rd year Chinese courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Chinese' AND prereq_codes IS NULL"
find all fourth year Chemical Engineering courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'Chemical Engineering' AND prereq_codes IS NULL"
I want to see 1st year Interdisciplinary Studies courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'Interdisciplinary Studies' AND prereq_codes IS NULL"
show me second year Latin courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_name = 'Latin' AND prereq_codes IS NULL"
get me 3rd year Queen's Global Summer Program courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Queen's Global Summer Program' AND prereq_codes IS NULL"
"which 1st year Politics, Philosophy, and Economics courses without any prerequisites","SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'Politics, Philosophy, and Economics' AND prereq_codes IS NULL"
I need first year Mining Engineering courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'Mining Engineering' AND prereq_codes IS NULL"
what are the 3rd year Community Health & Epidemiology courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Community Health & Epidemiology' AND prereq_codes IS NULL"
find all third year Creative Writing courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Creative Writing' AND prereq_codes IS NULL"
what are the second year Cognitive Science courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_name = 'Cognitive Science' AND prereq_codes IS NULL"
what are the second year Health Studies courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_name = 'Health Studies' AND prereq_codes IS NULL"
get me 2nd year Linguistics courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_name = 'Linguistics' AND prereq_codes IS NULL"
what are the 3rd year Electrical Engineering courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Electrical Engineering' AND prereq_codes IS NULL"
I need 4th year Bader College courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'Bader College' AND prereq_codes IS NULL"
I want to see 1st year Life Sciences courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'Life Sciences' AND prereq_codes IS NULL"
I want to see 3rd year Bader College courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Bader College' AND prereq_codes IS NULL"
find all 2nd year Mechatronics and Robotics Engineering courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_name = 'Mechatronics and Robotics Engineering' AND prereq_codes IS NULL"
list all first year Pathology & Molecular Medicine courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'Pathology & Molecular Medicine' AND prereq_codes IS NULL"
what are the 2nd year Arts & Science: Interdisciplinary courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_name = 'Arts & Science: Interdisciplinary' AND prereq_codes IS NULL"
which 1st year Indigenous Knowledges & Perspectives courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'Indigenous Knowledges & Perspectives' AND prereq_codes IS NULL"
what are the 4th year Mining Engineering courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'Mining Engineering' AND prereq_codes IS NULL"
show me fourth year Computing courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'Computing' AND prereq_codes IS NULL"
what are the 4th year International Studies courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'International Studies' AND prereq_codes IS NULL"
what are the 3rd year Visual Art courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Visual Art' AND prereq_codes IS NULL"
show me fourth year Mohawk courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'Mohawk' AND prereq_codes IS NULL"
list all 3rd year Philosophy courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Philosophy' AND prereq_codes IS NULL"
get me 2nd year Black Studies courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_name = 'Black Studies' AND prereq_codes IS NULL"
get me third year Cancer Research courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Cancer Research' AND prereq_codes IS NULL"
what are the 3rd year Computing courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Computing' AND prereq_codes IS NULL"
list all fourth year Black Studies courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'Black Studies' AND prereq_codes IS NULL"
list all first year Music Theatre courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'Music Theatre' AND prereq_codes IS NULL"
2nd year Mining Technology courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_name = 'Mining Technology' AND prereq_codes IS NULL"
list all 1st year Language Acquisition courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'Language Acquisition' AND prereq_codes IS NULL"
I need 3rd year Civil Engineering courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Civil Engineering' AND prereq_codes IS NULL"
show me first year Gender Studies courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'Gender Studies' AND prereq_codes IS NULL"
which 4th year Statistics Multi Disciplines courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'Statistics Multi Disciplines' AND prereq_codes IS NULL"
I need third year Pathology & Molecular Medicine courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Pathology & Molecular Medicine' AND prereq_codes IS NULL"
what are the 2nd year Japanese courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '2' AND department_name = 'Japanese' AND prereq_codes IS NULL"
I want to see 1st year Mechatronics and Robotics Engineering courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'Mechatronics and Robotics Engineering' AND prereq_codes IS NULL"
show me 1st year Astronomy courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'Astronomy' AND prereq_codes IS NULL"
find all first year Drug Development & Human Toxicology courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'Drug Development & Human Toxicology' AND prereq_codes IS NULL"
what are the fourth year French Language & Literature courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'French Language & Literature' AND prereq_codes IS NULL"
find all first year Mechanical Engineering courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'Mechanical Engineering' AND prereq_codes IS NULL"
4th year Computing & the Creative Arts courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'Computing & the Creative Arts' AND prereq_codes IS NULL"
I want to see first year French Language & Literature courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'French Language & Literature' AND prereq_codes IS NULL"
what are the 1st year Software Engineering courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'Software Engineering' AND prereq_codes IS NULL"
"what are the 3rd year Languages, Literatures, and Cultures courses without any prerequisites","SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Languages, Literatures, and Cultures' AND prereq_codes IS NULL"
which 4th year Geology courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'Geology' AND prereq_codes IS NULL"
list all 4th year History courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'History' AND prereq_codes IS NULL"
get me 3rd year Spanish courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Spanish' AND prereq_codes IS NULL"
show me first year Political Studies courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'Political Studies' AND prereq_codes IS NULL"
which 1st year History courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'History' AND prereq_codes IS NULL"
show me 4th year Cancer Research courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'Cancer Research' AND prereq_codes IS NULL"
which 1st year Civil Engineering courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'Civil Engineering' AND prereq_codes IS NULL"
which 1st year German courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'German' AND prereq_codes IS NULL"
what are the fourth year Drama courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'Drama' AND prereq_codes IS NULL"
get me fourth year Black Studies courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'Black Studies' AND prereq_codes IS NULL"
what are the 3rd year Engineering Chemistry courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Engineering Chemistry' AND prereq_codes IS NULL"
which third year Astronomy courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Astronomy' AND prereq_codes IS NULL"
I need 1st year German courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '1' AND department_name = 'German' AND prereq_codes IS NULL"
find all 3rd year Latin courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '3' AND department_name = 'Latin' AND prereq_codes IS NULL"
fourth year Italian courses without any prerequisites,"SELECT course_code, course_name, description FROM complete_courses WHERE year = '4' AND department_name = 'Italian' AND prereq_codes IS NULL"
